2023-03-29 20:21:56,414 - __main__ - INFO - Testing for participant 1.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:56,437 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:56,447 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,068 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:23:45,502 - brainiak.fcma.voxelselector - INFO - in rank 1, task 74 takes 1.26 s
2023-03-29 20:23:46,762 - brainiak.fcma.voxelselector - INFO - in rank 1, task 75 takes 1.26 s
2023-03-29 20:23:48,022 - brainiak.fcma.voxelselector - INFO - in rank 1, task 76 takes 1.26 s
2023-03-29 20:23:49,282 - brainiak.fcma.voxelselector - INFO - in rank 1, task 77 takes 1.26 s
2023-03-29 20:23:50,542 - brainiak.fcma.voxelselector - INFO - in rank 1, task 78 takes 1.26 s
2023-03-29 20:23:51,801 - brainiak.fcma.voxelselector - INFO - in rank 1, task 79 takes 1.26 s
2023-03-29 20:23:53,060 - brainiak.fcma.voxelselector - INFO - in rank 1, task 80 takes 1.26 s
2023-03-29 20:23:54,319 - brainiak.fcma.voxelselector - INFO - in rank 1, task 81 takes 1.26 s
2023-03-29 20:23:55,579 - brainiak.fcma.voxelselector - INFO - in rank 1, task 82 takes 1.26 s
2023-03-29 20:23:56,839 - brainiak.fcma.voxelselector - INFO - in rank 1, task 83 takes 1.26 s
2023-03-29 20:23:58,100 - brainiak.fcma.voxelselector - INFO - in rank 1, task 84 takes 1.26 s
2023-03-29 20:23:59,361 - brainiak.fcma.voxelselector - INFO - in rank 1, task 85 takes 1.26 s
2023-03-29 20:24:00,624 - brainiak.fcma.voxelselector - INFO - in rank 1, task 86 takes 1.26 s
2023-03-29 20:24:01,885 - brainiak.fcma.voxelselector - INFO - in rank 1, task 87 takes 1.26 s
2023-03-29 20:24:03,146 - brainiak.fcma.voxelselector - INFO - in rank 1, task 88 takes 1.26 s
2023-03-29 20:24:04,406 - brainiak.fcma.voxelselector - INFO - in rank 1, task 89 takes 1.26 s
2023-03-29 20:24:05,668 - brainiak.fcma.voxelselector - INFO - in rank 1, task 90 takes 1.26 s
2023-03-29 20:24:06,927 - brainiak.fcma.voxelselector - INFO - in rank 1, task 91 takes 1.26 s
2023-03-29 20:24:08,187 - brainiak.fcma.voxelselector - INFO - in rank 1, task 92 takes 1.26 s
