2023-03-29 20:21:22,147 - __main__ - INFO - Testing for participant 0.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:22,179 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:22,189 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
2023-03-29 20:21:22,151 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:24:15,236 - brainiak.fcma.voxelselector - INFO - in rank 1, task 89 takes 1.80 s
2023-03-29 20:24:17,042 - brainiak.fcma.voxelselector - INFO - in rank 1, task 90 takes 1.80 s
2023-03-29 20:24:18,859 - brainiak.fcma.voxelselector - INFO - in rank 1, task 91 takes 1.82 s
2023-03-29 20:24:20,661 - brainiak.fcma.voxelselector - INFO - in rank 1, task 92 takes 1.80 s
2023-03-29 20:24:22,483 - brainiak.fcma.voxelselector - INFO - in rank 1, task 93 takes 1.82 s
2023-03-29 20:24:24,294 - brainiak.fcma.voxelselector - INFO - in rank 1, task 94 takes 1.81 s
2023-03-29 20:24:26,103 - brainiak.fcma.voxelselector - INFO - in rank 1, task 95 takes 1.81 s
2023-03-29 20:24:27,927 - brainiak.fcma.voxelselector - INFO - in rank 1, task 96 takes 1.82 s
2023-03-29 20:24:29,733 - brainiak.fcma.voxelselector - INFO - in rank 1, task 97 takes 1.80 s
2023-03-29 20:24:31,538 - brainiak.fcma.voxelselector - INFO - in rank 1, task 98 takes 1.80 s
2023-03-29 20:24:33,360 - brainiak.fcma.voxelselector - INFO - in rank 1, task 99 takes 1.82 s
2023-03-29 20:24:35,167 - brainiak.fcma.voxelselector - INFO - in rank 1, task 100 takes 1.81 s
2023-03-29 20:24:36,972 - brainiak.fcma.voxelselector - INFO - in rank 1, task 101 takes 1.80 s
2023-03-29 20:24:38,794 - brainiak.fcma.voxelselector - INFO - in rank 1, task 102 takes 1.82 s
2023-03-29 20:24:40,597 - brainiak.fcma.voxelselector - INFO - in rank 1, task 103 takes 1.80 s
2023-03-29 20:24:42,403 - brainiak.fcma.voxelselector - INFO - in rank 1, task 104 takes 1.80 s
2023-03-29 20:24:44,206 - brainiak.fcma.voxelselector - INFO - in rank 1, task 105 takes 1.80 s
2023-03-29 20:24:46,009 - brainiak.fcma.voxelselector - INFO - in rank 1, task 106 takes 1.80 s
2023-03-29 20:24:47,830 - brainiak.fcma.voxelselector - INFO - in rank 1, task 107 takes 1.82 s
2023-03-29 20:24:49,638 - brainiak.fcma.voxelselector - INFO - in rank 1, task 108 takes 1.81 s
2023-03-29 20:24:51,464 - brainiak.fcma.voxelselector - INFO - in rank 1, task 109 takes 1.82 s
2023-03-29 20:24:53,274 - brainiak.fcma.voxelselector - INFO - in rank 1, task 110 takes 1.81 s
2023-03-29 20:24:55,082 - brainiak.fcma.voxelselector - INFO - in rank 1, task 111 takes 1.81 s
2023-03-29 20:24:56,888 - brainiak.fcma.voxelselector - INFO - in rank 1, task 112 takes 1.80 s
2023-03-29 20:24:58,696 - brainiak.fcma.voxelselector - INFO - in rank 1, task 113 takes 1.81 s
2023-03-29 20:25:00,503 - brainiak.fcma.voxelselector - INFO - in rank 1, task 114 takes 1.81 s
2023-03-29 20:25:02,320 - brainiak.fcma.voxelselector - INFO - in rank 1, task 115 takes 1.82 s
2023-03-29 20:25:04,130 - brainiak.fcma.voxelselector - INFO - in rank 1, task 116 takes 1.81 s
2023-03-29 20:25:05,935 - brainiak.fcma.voxelselector - INFO - in rank 1, task 117 takes 1.80 s
2023-03-29 20:25:07,756 - brainiak.fcma.voxelselector - INFO - in rank 1, task 118 takes 1.82 s
2023-03-29 20:25:09,560 - brainiak.fcma.voxelselector - INFO - in rank 1, task 119 takes 1.80 s
2023-03-29 20:25:11,364 - brainiak.fcma.voxelselector - INFO - in rank 1, task 120 takes 1.80 s
