2023-03-29 20:22:10,066 - __main__ - INFO - Testing for participant 2.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,069 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,098 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,103 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
2023-03-29 20:24:07,323 - brainiak.fcma.voxelselector - INFO - in rank 1, task 86 takes 1.27 s
2023-03-29 20:24:08,591 - brainiak.fcma.voxelselector - INFO - in rank 1, task 87 takes 1.27 s
2023-03-29 20:24:09,861 - brainiak.fcma.voxelselector - INFO - in rank 1, task 88 takes 1.27 s
2023-03-29 20:24:11,127 - brainiak.fcma.voxelselector - INFO - in rank 1, task 89 takes 1.27 s
2023-03-29 20:24:12,403 - brainiak.fcma.voxelselector - INFO - in rank 1, task 90 takes 1.28 s
2023-03-29 20:24:13,670 - brainiak.fcma.voxelselector - INFO - in rank 1, task 91 takes 1.27 s
2023-03-29 20:24:14,936 - brainiak.fcma.voxelselector - INFO - in rank 1, task 92 takes 1.27 s
2023-03-29 20:24:16,203 - brainiak.fcma.voxelselector - INFO - in rank 1, task 93 takes 1.27 s
2023-03-29 20:24:17,480 - brainiak.fcma.voxelselector - INFO - in rank 1, task 94 takes 1.28 s
2023-03-29 20:24:18,750 - brainiak.fcma.voxelselector - INFO - in rank 1, task 95 takes 1.27 s
2023-03-29 20:24:20,022 - brainiak.fcma.voxelselector - INFO - in rank 1, task 96 takes 1.27 s
2023-03-29 20:24:21,289 - brainiak.fcma.voxelselector - INFO - in rank 1, task 97 takes 1.27 s
2023-03-29 20:24:22,550 - brainiak.fcma.voxelselector - INFO - in rank 1, task 98 takes 1.26 s
2023-03-29 20:24:23,811 - brainiak.fcma.voxelselector - INFO - in rank 1, task 99 takes 1.26 s
2023-03-29 20:24:25,072 - brainiak.fcma.voxelselector - INFO - in rank 1, task 100 takes 1.26 s
2023-03-29 20:24:26,332 - brainiak.fcma.voxelselector - INFO - in rank 1, task 101 takes 1.26 s
2023-03-29 20:24:27,593 - brainiak.fcma.voxelselector - INFO - in rank 1, task 102 takes 1.26 s
2023-03-29 20:24:28,850 - brainiak.fcma.voxelselector - INFO - in rank 1, task 103 takes 1.26 s
2023-03-29 20:24:30,111 - brainiak.fcma.voxelselector - INFO - in rank 1, task 104 takes 1.26 s
2023-03-29 20:24:31,367 - brainiak.fcma.voxelselector - INFO - in rank 1, task 105 takes 1.26 s
2023-03-29 20:24:32,624 - brainiak.fcma.voxelselector - INFO - in rank 1, task 106 takes 1.26 s
2023-03-29 20:24:33,880 - brainiak.fcma.voxelselector - INFO - in rank 1, task 107 takes 1.26 s
2023-03-29 20:24:35,142 - brainiak.fcma.voxelselector - INFO - in rank 1, task 108 takes 1.26 s
2023-03-29 20:24:36,403 - brainiak.fcma.voxelselector - INFO - in rank 1, task 109 takes 1.26 s
2023-03-29 20:24:37,663 - brainiak.fcma.voxelselector - INFO - in rank 1, task 110 takes 1.26 s
2023-03-29 20:24:38,921 - brainiak.fcma.voxelselector - INFO - in rank 1, task 111 takes 1.26 s
2023-03-29 20:24:40,188 - brainiak.fcma.voxelselector - INFO - in rank 1, task 112 takes 1.27 s
2023-03-29 20:24:41,447 - brainiak.fcma.voxelselector - INFO - in rank 1, task 113 takes 1.26 s
2023-03-29 20:24:42,706 - brainiak.fcma.voxelselector - INFO - in rank 1, task 114 takes 1.26 s
2023-03-29 20:24:43,963 - brainiak.fcma.voxelselector - INFO - in rank 1, task 115 takes 1.26 s
2023-03-29 20:24:45,225 - brainiak.fcma.voxelselector - INFO - in rank 1, task 116 takes 1.26 s
2023-03-29 20:24:46,485 - brainiak.fcma.voxelselector - INFO - in rank 1, task 117 takes 1.26 s
2023-03-29 20:24:47,747 - brainiak.fcma.voxelselector - INFO - in rank 1, task 118 takes 1.26 s
2023-03-29 20:24:49,007 - brainiak.fcma.voxelselector - INFO - in rank 1, task 119 takes 1.26 s
2023-03-29 20:24:50,267 - brainiak.fcma.voxelselector - INFO - in rank 1, task 120 takes 1.26 s
2023-03-29 20:24:51,526 - brainiak.fcma.voxelselector - INFO - in rank 1, task 121 takes 1.26 s
2023-03-29 20:24:52,786 - brainiak.fcma.voxelselector - INFO - in rank 1, task 122 takes 1.26 s
2023-03-29 20:24:54,044 - brainiak.fcma.voxelselector - INFO - in rank 1, task 123 takes 1.26 s
2023-03-29 20:24:55,303 - brainiak.fcma.voxelselector - INFO - in rank 1, task 124 takes 1.26 s
2023-03-29 20:24:56,561 - brainiak.fcma.voxelselector - INFO - in rank 1, task 125 takes 1.26 s
2023-03-29 20:24:57,818 - brainiak.fcma.voxelselector - INFO - in rank 1, task 126 takes 1.26 s
2023-03-29 20:24:59,077 - brainiak.fcma.voxelselector - INFO - in rank 1, task 127 takes 1.26 s
2023-03-29 20:25:00,335 - brainiak.fcma.voxelselector - INFO - in rank 1, task 128 takes 1.26 s
2023-03-29 20:25:01,594 - brainiak.fcma.voxelselector - INFO - in rank 1, task 129 takes 1.26 s
2023-03-29 20:25:02,855 - brainiak.fcma.voxelselector - INFO - in rank 1, task 130 takes 1.26 s
2023-03-29 20:25:04,113 - brainiak.fcma.voxelselector - INFO - in rank 1, task 131 takes 1.26 s
2023-03-29 20:25:05,369 - brainiak.fcma.voxelselector - INFO - in rank 1, task 132 takes 1.26 s
2023-03-29 20:25:06,627 - brainiak.fcma.voxelselector - INFO - in rank 1, task 133 takes 1.26 s
2023-03-29 20:25:07,885 - brainiak.fcma.voxelselector - INFO - in rank 1, task 134 takes 1.26 s
2023-03-29 20:25:09,143 - brainiak.fcma.voxelselector - INFO - in rank 1, task 135 takes 1.26 s
2023-03-29 20:25:10,398 - brainiak.fcma.voxelselector - INFO - in rank 1, task 136 takes 1.25 s
2023-03-29 20:25:11,655 - brainiak.fcma.voxelselector - INFO - in rank 1, task 137 takes 1.26 s
2023-03-29 20:25:12,914 - brainiak.fcma.voxelselector - INFO - in rank 1, task 138 takes 1.26 s
2023-03-29 20:25:14,172 - brainiak.fcma.voxelselector - INFO - in rank 1, task 139 takes 1.26 s
2023-03-29 20:25:15,429 - brainiak.fcma.voxelselector - INFO - in rank 1, task 140 takes 1.26 s
2023-03-29 20:25:16,687 - brainiak.fcma.voxelselector - INFO - in rank 1, task 141 takes 1.26 s
2023-03-29 20:25:17,945 - brainiak.fcma.voxelselector - INFO - in rank 1, task 142 takes 1.26 s
2023-03-29 20:25:19,203 - brainiak.fcma.voxelselector - INFO - in rank 1, task 143 takes 1.26 s
2023-03-29 20:25:20,460 - brainiak.fcma.voxelselector - INFO - in rank 1, task 144 takes 1.26 s
2023-03-29 20:25:21,717 - brainiak.fcma.voxelselector - INFO - in rank 1, task 145 takes 1.26 s
2023-03-29 20:25:22,975 - brainiak.fcma.voxelselector - INFO - in rank 1, task 146 takes 1.26 s
2023-03-29 20:25:24,232 - brainiak.fcma.voxelselector - INFO - in rank 1, task 147 takes 1.26 s
2023-03-29 20:25:25,488 - brainiak.fcma.voxelselector - INFO - in rank 1, task 148 takes 1.26 s
2023-03-29 20:25:26,744 - brainiak.fcma.voxelselector - INFO - in rank 1, task 149 takes 1.26 s
2023-03-29 20:25:27,999 - brainiak.fcma.voxelselector - INFO - in rank 1, task 150 takes 1.25 s
2023-03-29 20:25:29,264 - brainiak.fcma.voxelselector - INFO - in rank 1, task 151 takes 1.26 s
2023-03-29 20:25:30,522 - brainiak.fcma.voxelselector - INFO - in rank 1, task 152 takes 1.26 s
2023-03-29 20:25:31,780 - brainiak.fcma.voxelselector - INFO - in rank 1, task 153 takes 1.26 s
2023-03-29 20:25:33,038 - brainiak.fcma.voxelselector - INFO - in rank 1, task 154 takes 1.26 s
2023-03-29 20:25:34,296 - brainiak.fcma.voxelselector - INFO - in rank 1, task 155 takes 1.26 s
2023-03-29 20:25:35,553 - brainiak.fcma.voxelselector - INFO - in rank 1, task 156 takes 1.26 s
2023-03-29 20:25:36,810 - brainiak.fcma.voxelselector - INFO - in rank 1, task 157 takes 1.26 s
2023-03-29 20:25:38,066 - brainiak.fcma.voxelselector - INFO - in rank 1, task 158 takes 1.26 s
2023-03-29 20:25:39,324 - brainiak.fcma.voxelselector - INFO - in rank 1, task 159 takes 1.26 s
2023-03-29 20:25:40,580 - brainiak.fcma.voxelselector - INFO - in rank 1, task 160 takes 1.26 s
2023-03-29 20:25:41,839 - brainiak.fcma.voxelselector - INFO - in rank 1, task 161 takes 1.26 s
2023-03-29 20:25:43,097 - brainiak.fcma.voxelselector - INFO - in rank 1, task 162 takes 1.26 s
